Artist,Genre,MBID
Two Door Cinema Club,"indie, pop, rock",6f1de078-6684-4792-820d-2ffad64c15ed
wave to earth,k-pop,89e95aa3-bd49-4af3-9c87-0d88b2093bb0
Danny Ocean,"hip hop, latin, other, pop",ddb0b09f-284f-45dd-b394-05f58b0eeb76
Yung Gravy,"hip hop, pop",20b034b2-35a1-40be-908f-22d1b5681572
Air,"edm, indie, other, pop",cb67438a-7f50-4f2b-a6f1-2bb2729fd538
PJ Harvey,"other, pop, rock",e795e03d-b5d5-4a5f-834d-162cfb308a2c
Lawrence,"other, pop",819a9744-627b-4bf5-92e9-f894b0f252e6
Alec Benjamin,pop,21a14ee3-cede-420a-9d6d-a33517d2f952
Nothing But Thieves,"pop, rock",7e2e4e3a-4e85-4d5a-b78e-5e4afd467a3e
Blxst,"pop, rap",41ca19c2-935f-4647-9ef5-26f81291a9aa
HONNE,pop,58b599cd-b1de-45e3-863a-3b54194a0f20
Thee Sacred Souls,"other, world",32b87bbc-2363-457a-97b4-3103a569f3a7
Phantogram,"indie, pop",dfe78af2-779e-4137-826a-3073a16e3278
FINNEAS,"indie, other, pop",151cd917-1ee2-4702-859f-90899ad897f8
James Blunt,"pop, rock",ebee61b4-bbdd-4087-9bcb-d5aa099088ec
Incubus,rock,e3e0abcd-7671-4482-a9d8-462f5acc9be5
Childish Gambino,"hip hop, other, rap",7fb57fba-a6ef-44c2-abab-2fa3bdee607e
Grupo Frontera,other,4c57c827-4ce3-4cf4-9492-0ff7f1ee2b0f
Nicki Minaj,"hip hop, pop, rap",1036b808-f58c-4a3e-b461-a2c4492ecf1b
Kacey Musgraves,"country, pop",d1393ecb-431b-4fde-a6ea-d769f2f040cb
Kygo,"edm, other, pop",ba0e7638-0cd6-4ff4-8987-c3e224d22c23
Weezer,"other, pop, rock",6fe07aa5-fec0-4eca-a456-f29bff451b04
Charli xcx,pop,260b6184-8828-48eb-945c-bc4cb6fc34ca
Maggie Rogers,"other, pop",dde26295-8cd4-474c-8740-3edb801b2776
Kehlani,"pop, r&b, rap",3260ce89-5eb0-4c6a-89c7-379c0dfc2ab9
Sabrina Carpenter,pop,1882fe91-cdd9-49c9-9956-8e06a3810bd4
keshi,"pop, r&b",ee74db56-c264-4c23-9504-29e2d8078f36
Cyndi Lauper,"other, pop, rock",7bd9e20e-74b9-446a-a2ed-a223f82a36e7
"Tyler, The Creator","hip hop, rap",f6beac20-5dfe-4d1f-ae02-0b0a740aafd6
Mary J. Blige,"hip hop, other, pop, r&b",db76c5ca-d555-4f09-b1db-baa1b713d875
Kylie Minogue,"other, pop",2fddb92d-24b2-46a5-bf28-3aed46f4684c
