Artist,Genre
Rihanna,barbadian pop
Coldplay,permanent wave
Eminem,detroit hip hop
Drake,canadian hip hop
The Weeknd,canadian contemporary r&b
Bruno Mars,dance pop
Taylor Swift,pop
Maroon 5,pop
Kanye West,chicago rap
Ed Sheeran,pop
Beyoncé,pop
Adele,british soul
Justin Bieber,canadian pop
Kendrick Lamar,conscious hip hop
Katy Perry,pop
Lady Gaga,art pop
Calvin Harris,dance pop
Lana Del Rey,art pop
Ariana Grande,pop
Red Hot Chili Peppers,alternative rock
David Guetta,big room
U2,irish rock
Queen,classic rock
Arctic Monkeys,garage rock
Chris Brown,r&b
Lil Wayne,hip hop
Post Malone,dfw rap
Miley Cyrus,pop
Radiohead,alternative rock
Pitbull,dance pop
The Killers,alternative rock
Black Eyed Peas,dance pop
Fleetwood Mac,album rock
Elton John,glam rock
Sam Smith,pop
J. Cole,conscious hip hop
Green Day,modern rock
Sia,pop
Britney Spears,dance pop
Travis Scott,rap
Frank Ocean,lgbtq+ hip hop
Future,atl hip hop
The Rolling Stones,album rock
OneRepublic,piano rock
A$AP Rocky,east coast hip hop
Ellie Goulding,indietronica
Wiz Khalifa,hip hop
Kings of Leon,modern rock
Jason Derulo,dance pop
Flo Rida,dance pop
Gorillaz,alternative hip hop
Harry Styles,pop
Foo Fighters,alternative metal
Muse,alternative rock
Alicia Keys,neo soul
Twenty One Pilots,modern rock
Paramore,candy pop
SZA,pop
Shawn Mendes,canadian pop
Tyler,hip hop
Hozier,irish singer-songwriter
Lorde,art pop
Tame Impala,australian psych
Jay-Z,east coast hip hop
Kid Cudi,hip hop
Fall Out Boy,emo
Mumford & Sons,modern folk rock
AC/DC,australian rock
Snoop Dogg,g funk
Khalid,pop
The Chainsmokers,pop
Selena Gomez,pop
50 Cent,east coast hip hop
Guns N' Roses,glam metal
The Cure,new wave
Demi Lovato,pop
The Neighbourhood,modern alternative rock
Big Sean,detroit hip hop
Kesha,dance pop
Doja Cat,dance pop
MGMT,alternative rock
Michael Bublé,adult standards
Panic! At the Disco,pop
blink-182,alternative metal
John Mayer,neo mellow
The Strokes,alternative rock
Major Lazer,dance pop
Dr. Dre,g funk
The Black Keys,alternative rock
Kelly Clarkson,dance pop
Madonna,dance pop
Linkin Park,alternative metal
Skrillex,brostep
Avril Lavigne,canadian pop
Stevie Wonder,motown
DJ Khaled,hip hop
Bon Iver,chamber pop
Jennifer Lopez,dance pop
OutKast,atl hip hop
Olivia Rodrigo,pop
Billy Joel,album rock
Pearl Jam,alternative metal
Pharrell Williams,dance pop
Lil Uzi Vert,hip hop
Miguel,r&b
Tyga,hip hop
Tiësto,big room
21 Savage,atl hip hop
Marshmello,brostep
Nickelback,alternative metal
Bon Jovi,glam metal
Cardi B,pop
Enrique Iglesias,dance pop
Macklemore & Ryan Lewis,pop rap
Florence + The Machine,baroque pop
System of a Down,alternative metal
Aerosmith,album rock
Train,dance pop
Jack Johnson,neo mellow
The xx,downtempo
Ne-Yo,dance pop
Bad Bunny,reggaeton
Bastille,metropopolis
Bob Dylan,classic rock
T.I.,atl hip hop
Migos,atl hip hop
Disclosure,edm
Labrinth,indie poptimism
Christina Aguilera,dance pop
Akon,dance pop
Jason Mraz,acoustic pop
alt-J,indie rock
Young Thug,atl hip hop
Bruce Springsteen,heartland rock
5 Seconds of Summer,boy band
Metro Boomin,rap
The Smashing Pumpkins,alternative metal
Camila Cabello,dance pop
Trey Songz,dance pop
Eagles,album rock
The Beach Boys,baroque pop
The 1975,modern alternative rock
Sean Paul,dance pop
Mac DeMarco,edmonton indie
Arcade Fire,alternative rock
J Balvin,reggaeton
Jessie J,dance pop
Charlie Puth,pop
Nelly,dance pop
Ty Dolla $ign,hip hop
Clean Bandit,pop
Kali Uchis,colombian pop
Martin Garrix,dutch edm
B.o.B,atl hip hop
Chance the Rapper,chicago rap
Steve Lacy,afrofuturism
Slipknot,alternative metal
Gucci Mane,atl hip hop
2 Chainz,atl hip hop
Jeremih,chicago rap
The Kooks,brighton indie
Daddy Yankee,latin hip hop
Journey,album rock
The Offspring,alternative metal
Pixies,alternative rock
Mark Ronson,pop soul
Depeche Mode,dance rock
Gwen Stefani,dance pop
Nelly Furtado,canadian latin
The Fray,neo mellow
Vampire Weekend,baroque pop
Tory Lanez,canadian hip hop
T-Pain,dance pop
Joji,viral pop
M83,french shoegaze
Meek Mill,hip hop
Tove Lo,dance pop
Nas,conscious hip hop
Of Monsters and Men,folk-pop
Lil Nas X,lgbtq+ hip hop
Bryson Tiller,kentucky hip hop
Logic,conscious hip hop
James Arthur,pop
Rae Sremmurd,melodic rap
One Direction,boy band
Little Mix,girl group
Swedish House Mafia,edm
Kodak Black,florida drill
ABBA,europop
PARTYNEXTDOOR,r&b
Lewis Capaldi,pop
Beck,alternative rock
Earth,disco
Eric Clapton,album rock
Flume,australian dance
Phoenix,alternative dance
Troye Sivan,australian pop
Luke Bryan,contemporary country
Ludacris,atl hip hop
Korn,alternative metal
Daniel Caesar,canadian contemporary r&b
Timbaland,dance pop
Santana,blues rock
ScHoolboy Q,gangster rap
French Montana,hip hop
Lil Yachty,atl hip hop
Death Cab for Cutie,alternative rock
Jhené Aiko,r&b
Beach House,art pop
Playboi Carti,atl hip hop
Sufjan Stevens,art pop
The Who,album rock
Rick Ross,dirty south rap
P!NK,dance pop
Melanie Martinez,alt z
Daryl Hall & John Oates,album rock
Lizzo,escape room
George Ezra,folk-pop
Alessia Cara,canadian contemporary r&b
Fergie,dance pop
Blur,alternative rock
Brent Faiyaz,r&b
Clairo,bedroom pop
Bring Me The Horizon,melodic metalcore
BTS,k-pop
Avicii,dance pop
The Goo Goo Dolls,neo mellow
My Chemical Romance,emo
Lil Baby,atl hip hop
Evanescence,alternative metal
Trippie Redd,melodic rap
Deftones,alternative metal
Lynyrd Skynyrd,album rock
Paul McCartney,classic rock
Norah Jones,contemporary vocal jazz
Fun.,baroque pop
Bryan Adams,canadian pop
Ice Cube,conscious hip hop
Kiss,glam rock
Blackbear,alt z
Russ,hawaiian hip hop
Moby,downtempo
Queens of the Stone Age,alternative metal
will.i.am,dance pop
Jason Aldean,contemporary country
Three Days Grace,alternative metal
YG,cali rap
Lady A,contemporary country
Fetty Wap,new jersey rap
Blondie,candy pop
Passenger,folk-pop
Rex Orange County,bedroom pop
Mike Posner,dance pop
Carly Rae Jepsen,canadian pop
Zara Larsson,pop
Sublime,rap rock
Dominic Fike,alternative pop rock
Lily Allen,dance pop
Backstreet Boys,boy band
Carrie Underwood,classic oklahoma country
Yeah Yeah Yeahs,alternative dance
Iggy Azalea,australian hip hop
Milky Chance,german pop
Tate McRae,pop
Birdy,neo mellow
Jonas Brothers,boy band
M.I.A.,escape room
Ciara,dance pop
Limp Bizkit,alternative metal
Disturbed,alternative metal
TV Girl,pov: indie
Phil Collins,rock drums
Rod Stewart,mellow gold
Megan Thee Stallion,houston rap
Taio Cruz,dance pop
Maluma,latin pop
Gotye,australian pop
The All-American Rejects,alternative metal
The Game,detroit hip hop
Ozuna,puerto rican pop
Tom Odell,chill pop
Bebe Rexha,dance pop
The Kid LAROI.,australian hip hop
Tim McGraw,contemporary country
MARINA,metropopolis
Tears For Fears,new romantic
Neil Young,canadian singer-songwriter
James Blake,art pop
P/NK,dance pop
Zac Brown Band,contemporary country
Niall Horan,pop
Quavo,atl hip hop
Jack Harlow,deep underground hip hop
A Tribe Called Quest,conscious hip hop
Celine Dion,canadian pop
Avenged Sevenfold,alternative metal
Van Halen,album rock
Nine Inch Nails,alternative metal
Massive Attack,downtempo
Thirty Seconds to Mars,modern rock
Dolly Parton,classic country pop
